character,high-freq,medium-freq,examples
这,"这
这个","这些
这样
这里
这么","我这這就过過去。
这這本书書写寫得不错錯。
他这這才突然明白过過来來。
这个好多了。
这个再加点。
这个量多吗？"
个,"个
这个","个人
个个
个性
整个
那个","俩倆人相差个個两兩三岁歲。
她比她丈夫大个個一两兩岁歲。
冲沖个個澡
这个好多了。
这个再加点。
这个量多吗？"
们,"你们
我们","人们
他们","我既不乞讨你们的恩惠，也不惧怕你们的憎恨。
我的工作不是代表华盛顿对你们说话，而是代表你们对华盛顿说话。
女引座员可以把你们带到你们的座位上。
我们們一起去公园園吧。
我们們孩子特别別乖。
我们們去年去了希腊臘。"
中,"中
中国","中共
中午
中原
中国人
中国式
中场
中外
中天
中央
中学
中山
中年
中式
中心
中性
中意
中文
中新网
中毒
中奖
中等
中级
中华
中药
中转
中途
中部
中医
中间
中饭
中餐
之中
其中
初中
命中
国中
家中
市中心
心中
击中
猜中
当中
看中
空中
途中
集中
高中
高中生","在改革中
会會议議在进進行中。
彩票中了头頭奖獎。
中国(國)历(歷)史
毛主席领(領)导(導)下的中国(國)
我在中国(國)呆了差不多一个(個)月"
来,"来
来自
出来
原来
回来
起来
越来越","上来
下来
以来
来到
来回
来年
来源
来临
来说
来电
传来
到来
如来
将来
带来
后来
从来
想来
拿来
接下来
未来
本来
用来
看来
进来
过来
醒来","几幾年来來
芭蕾舞我跳不来來。
请請来來碗面麵条條。
青年志愿者们都来自不同的国家。
风险来自于你不知道自己在做什么。
公正不是来自外界，而是来自内心的平静。

几幾十年过過去，这這个個小镇鎮还還是原来來的样樣子。
我以为為你出国國了，原来來你还還在国國内內呢！
我原来來并並不知道他们們两兩人之间間的恩恩怨怨。

起来來吧,天都亮了。
赶趕快起来來,来來客人了。
突然唱起来(來)/跑了起来(來)
这里越来越黑了。
北京越来越热了。
加速度终于越来越小。"
上,"上
上班
早上
晚上","上下
上来
上传
上午
上去
上司
上天
上学
上市
上帝
上床
上升
上映
上海
上演
上涨
上火
上班族
上瘾
上网
上线
上街
上课
上路
上身
上车
上辈子
上门
上面
世上
以上
加上
史上
向上
地上
基本上
天上
实际上
爱上
戴上
楼上
海上
爬上
登上
看上
穿上
至上
赶上
路上
踏上
身上
闭上
马上","上杂雜志誌
我跑上楼樓梯。
我的表錶已上弦絃了。
上班
上班
我周(週)五不上班
凌(淩)晨3点(點)/早上7点(點)
早上床睡觉(覺)是明智的
从(從)晚上9点(點)到早上9点(點)
前天晚上
今天晚上出去吃好吗(嗎)？
从(從)晚上9点(點)到早上9点(點)"
大,"大
大吉
大家
大奖
大话骰","一大早
亚历山大
人大
伟大
加大
加拿大
北大
博大
哈哈大笑
大不了
大亨
大人
大伙
大伯
大佬
大便
大侠
大内
大全
大刀
大力
大半
大叔
大口
大吃大喝
大吉大利
大同
大哥
大哥大
大哭
大唐
大喜
大地
大型
大堂
大多
大多数
大大
大大小小
大夫
大姐
大姨
大姨妈
大娘
大妈
大学
大学生
大寒
大宝
大小
大山
大巴
大师
大幅
大厦
大厅
大怒
大意
大战
大户
大拇指
大方
大于
大会
大业
大概
大楼
大桥
大气
大洋
大海
大清早
大润发
大火
大爷
大片
大牌
大王
大理
大众
大炮
大笑
大米
大约
大红
大纲
大声
大腕
大脑
大腿
大胆
大自然
大蒜
大号
大街
大衣
大规模
大豆
大象
大军
大连
大运
大道
大选
大部分
大都
大量
大门
大陆
大队
大雨
大雪
大雾
大风
大餐
大驾
大闹天宫
大龄
巨大
师大
广大
强大
恍然大悟
意大利
扩大
放大
澳大利亚
火大
百慕大
盛大
绝大多数
老大
自大
重大
长大
高大
庞大","他比我大。
大吃喫一惊驚
音乐樂声聲太大,请請关關小一点點。
小王总把做作业当苦差事，每次做完就感觉完事大吉了。
猪年大吉!
他为什么溜之大吉？
国國画畫大家
我们們大家必须須继繼续續努力。
大家都很喜欢歡这這部电電影。
祝您中大奖。
这次的大奖到现在还虚悬着呢。
他为整个大奖在赌博。
"
为,"以为
因为
成为
为
为了
为什么","不为人知
作为
改为
最为
为主
为何
为止
无能为力
称为
行为
认为
身为","我以为為你不想来來呢！
老李以为為这這件事跟他没沒关關系係。
以为(為)⋯
因为為有暴风風雨，所以他们們取消了航海计計划劃。
一般人都对战争和展览的失败害怕的要死，因为有钱人--不想买任何东西。
我们不会死，因为我们必须得死；我们死去，因为不久之后的某天，我们被迫地认为那是必须的。
活着的全部意义在于发展成为你想成为的完整的人。
想要成为能够成为的人是生活的目标。
永远不要忘记，你的人生是你自己在掌控。你因你有意或无意地选择而成为你。
我真为為你高兴興！
一公斤约为為两兩磅。
这這部老电電影为為大家喜爱愛。
坏人活着是为了吃喝，而好人吃喝是为了活着。
为了谋生不必去死。
欲望的本质是不满足,而大多数人活着只是为了满足它。
为什么这么做？
你看到已经存在的事物，问‘为什么如此呢?' 但我却梦想从未有过的事物；并问，“为什么不能呢?”
为什么吸毒者和电脑爱好者都被称为用户？"
和,和,"和尚
和平
和谐
平和
暖和","5与與5的和是10。
他和我是同事。
夫妻不和。"
国,"中国
中国人
国
国内
国家
国际
美国
韩国","中国式
亡国
俄国
共和国
出国
北国
吴国
回国
国中
国人
国企
国债
国内外
国务院
国土
国外
国大
国学
国家级
国家队
国宝
国度
国情
国庆
国旗
国会
国有
国歌
国民
国民党
国泰民安
国王
国产
国界
国画
国籍
国粹
国航
国语
国贸
国道
国防
国际化
外国
外国人
天国
帝国
建国
张国荣
强国
德国
德国人
爱国
爱国者
我国
战国
曾国藩
民国
治国
法国
法国人
泰国
王国
异国
祖国
米国
美国人
联合国
兴国
英国
英国人
蒋经国
蜀国
跨国
开国
韩国人
魏国","中国(國)历(歷)史
毛主席领(領)导(導)下的中国(國)
我在中国(國)呆了差不多一个(個)月
吃面包和肉。中国人呢？
中国人用木制筷子吃饭。
中国人习惯把媒人称之为红娘。
国國徽
他是哪国(國)人？
他是哪国人？
国内市场的扩大
国内市场没有足够的增长。
中国更加重视国内的石油生产。
不要问国家能为你做什么, 问问你能为国家做些什么。
国家存在就不能有自由。而有了自由就不会有国家。
寄到哪个国家？
国际
我寄国际包裹。
这是国际驾照。
美国國人
美国音乐的创作方法很简单。你所要做的就是做个美国人然后创作你想要的那种音乐。
你能接受美国文化吗？
我们乘船去韩国旅行。
他在一家韩国公司当顾问。
这次我们将去韩国度假。"
地,"地
地主
地址
地方","不败之地
内地
原地
土地
地上
地下
地位
地区
地图
地域
地坛
地带
地板
地步
地毯
地牢
地狱
地球
地理
地瓜
地产
地盘
地道
地铁
地铁站
地震
地面
地点
基地
场地
墓地
外地
大地
天地
天崩地裂
天旋地转
天长地久
失地
奥地利
工地
心地
战地
房地产
扫地
本地
欢天喜地
死心塌地
特地
异地
异地恋
当地
目的地
圣地
脚踏实地
草地
落地
谈天说地
谢天谢地
质地
遍地
阵地
随地
领地
余地","他家离離城有5公里裡地。
从從家到学學校坐4站地。
学學生大声聲地回答问問题題。
地主已知道了那栋楼房。
这个老地主是个不折不扣的催命鬼。
爷爷小时候是地主家的牛倌儿。
通信地址
家庭地址
办辦公地址
你是哪个個地方的人？
这這个個地方真美。
车車里裡没沒地方了。"
到,到,"不到
来到
做到
到来
到家
到底
到处
到达
受到
回到
得到
想到
感到
找到
接到
收到
碰到
等到
签到
听到
见到
买到
遇到
达到
迟到","到点點了,起床！
火车車到了。
你的要求我办辦不到。"
以,"以
以后
可以
所以","之所以
以上
以下
以来
以前
以及
以外
以往
以为
足以
难以","以新的标標准準衡量
以强強凌淩弱
我们們要改进進技术術，以提高生产產效率。
以后後我们們去看电電影。
两兩年以后後，他果然去周游遊世界了。
两兩年以后後
今天我忙得够夠可以的。
他乒乓球打得还還可以。
别別人能做到的,你也可以。
路上堵车車，所以我迟遲到了。
她要减肥，所以拒绝吃肥肉。
管子是弯的，所以望不出去。"
说,"传说
说","来说
小说
据说
听说
解说
诉说
说不定
说出
说好
说明
说服
说法
说话
说说
说谎
说起
说道","白蛇是传说中的神物。
传说嫦娥就住在月亮里的水晶宫。
这就是传说中蚩尤战斗的地方。
他说說他不来來了。
衣服弄得这這么麼脏髒,看你妈媽妈媽不说說你。
她说(說)听(聽)不见(見)我说(說)的话(話)"
时,"同时
小时
时
时代
时候
时光
时尚
时间
随时","一时
不时
何时
倒计时
到时
到时候
即时
及时
定时
实时
小时候
平时
几时
按时
时分
时刻
时报
时差
时常
时时
时时刻刻
时期
时机
时段
时空
时节
时装
时隔
时髦
暂时
有时
有时候
有的时候
此时
历时
准时
当时
临时
临时工
计时
这时
过时
适时
那时
那时候
顿时","桌子太大了,同时時也太贵貴了。
该該项項目时時间間紧緊,同时時工作量也很大。
同时時发發生
很多公司实實行8小时時工作制。
有两(兩)小时(時)车(車)程
一小时(時)干(乾)洗服务(務)
钟鐘表錶要报報时時了。
营營业时時间間是从從上午9时時到下午5时時。
当當时時
这个时代同所有的时代一样，非常好的时代，如果我们能知道在这时代里应该做些什么的话。
一个时代的自由思想是下一个时代的常识。
计算机时代
在没有必要作决定的时候，就必须不作决定。
工作的时候工作，游戏的时候游戏。
生气的时候，想想后果。
早晨的时光嘴里有金子。
早晨的时光嘴里有金子。
嗅觉是个很强大的向导，他带你穿越几千英里和你生活过的时光。
时尚。
时尚改变，风格依旧。
衣着时尚，心怀信仰。
任何时间就是没有时间。
时间不等人。
懊悔浪费时间更是浪费时间。
嫉妒就像影子一样随时出现。
随时都能完成的事，从来没有全部做完过。
随时愿意效劳。"
要,要,"主要
只要
必要
想要
要是
要求
要么
重要
需要","我要上厕廁所。
我要学學开開车車。
这這台臺风風扇要多少钱錢？"
就,就,"就算
成就","泡菜就稀粥
就他一人没沒来來。
请請稍等,我这這就做完。"
出,"付出
出
出来
出去
出现
出发
出门","伸出
作出
做出
出世
出乎
出乎意料
出事
出人意料
出入
出动
出口
出名
出品
出售
出国
出场
出奇
出嫁
出局
出差
出师
出席
出息
出手
出于
出汗
出没
出海
出炉
出版
出生
出众
出租
出租车
出声
出自
出台
出色
出处
出血
出行
出卖
出路
出身
出轨
出游
出道
出错
出院
出面
出头
取出
外出
得出
复出
想出
找出
拍出
拿出
指出
掏出
排出
推出
提出
播出
支出
放出
日出
派出所
流出
演出
发出
看出
突出
冲出
认出
说出
卖出
走出
超出
跳出
退出
选出
迈出
长出
露出","为(為)某事付出代价(價)
为(為)某事付出很高的代价(價)
付出了巨大的生命代价(價)。
出
出考题題
他为為此出了很多力。
出来。
受不了热就从厨房出来。
画面不出来。
出去吃饭飯
出去逛逛
你今晚出去吗(嗎)？
她的出现現令我感到意外。
他没沒有出现現在聚会會上,朋友很失望。
罪恶不会出现在自然界，而是由人民普遍认同的好坏来决定的。
出发
从從实實际際出发發
一早出发(發)
送某人出门(門)
他爸爸整个(個)月都限制他出门(門)。
送某人出门"
会,"学会
会
机会","一会
一会儿
公会
协会
大会
奥运会
委员会
学生会
年会
庙会
待会儿
教会
晚会
会员
会场
会心
会死
会见
会计
会议
会长
演唱会
理会
发布会
社会
社会主义
约会
聚会
联欢会
舞会
误会
证监会
运动会
都会
开会
音乐会
体会
黑社会","如果你不学会在困境中笑，你到晚年的时候就没有什么可以笑的了。
从幼年的时候就学会不喜欢孩子，在之后的生活中，会减少很多的花费和恼怒。
我们曾经认为如果我们知道了一个，就会知道两个，因为一加一等于二。我们发现我们必须学会更多的“和”。
我不会會下象棋。
会會过過日子
会會武术術
机会
""你越是了解世界，就越有机会嘲笑它。""
命运不是一种机会，而是一种选择，它不是用来等待的，而是拼搏去获得的。"
可,"可
可以
可是
可能","可怕
可悲
可惜
可恶
可爱
可怜
可乐
宁可
无懈可击","这這件事他可知道？
没沒什么麼可担擔心的。
这這书書你可看过過？
今天我忙得够夠可以的。
他乒乓球打得还還可以。
别別人能做到的,你也可以。
他儿兒子可是真聪聰明。
这這个個小镇鎮不大,可是很热熱闹鬧。
造币厂制造金钱，可是怎么用取决于自己。
可能(⋯)
可能(…)
他可能去重庆慶了。"
多,"多
多少","二十多
多久
多半
多多
多情
多数
多谢
多变
多云
多余
多么
大多
大多数
好多
差不多
众多
维多利亚
许多
诸多
丰富多彩
顶多","两年多前
她喝多了。
你儿兒子多大了？
多少
你们們有多少我们們要多少。
今天有多少人到会會?"
经,"已经
曾经
经
经典
经常
经历
经济
经过
经验","不经意
心经
必经
月经
正经
历经
痛经
神经
神经病
神经质
经不起
经受
经济学
经营
经理
经纪人
总经理
圣经
财经
途经","已经經到深秋了。
已经够热/ 难的了
不要轻视那些已经死去的勇士，我们应该记得他们生前英勇的行为。
我曾经經想出国國留学學。
未来不在于它曾经是什么。
人生里有比死亡更糟的事情。你曾经和一个保险推销员待过一晚上么？
她经經得起折腾騰。
经經商
经經常
这张唱碟收录的都是经典老歌。
这几首经典歌曲被人们广为传唱。
这张CD收录了他们最经典的歌曲。
经常
并不经常…
别经常这么做
不经历苦难就不能被祝福。
如果你经历和我一样的人生，你就不会低估迷恋的力量了。
幸福不是你经历了些什么，而是你记住了些什么。
我经济拮据
就气候/ 经济而言
在政治/ 经济方面
它经过纽约吗？
我们生来就是有魅力、清新、自然的，一定要先经过教化，才能适合参与进社会。
我们不接受智慧；我们必须经过一段没有人能接受或宽恕我们的旅程来自己发现。
我们都有过失败的经验，这些都是为我们的成功而做的准备。
经验不是指一个人碰上了什么事，而是这个人遇到这些事时怎样处理的。
经验是智慧之父，记忆是智慧之母。"
么,"什么
怎么
这么
那么","多么
怎么样
为什么","什么？
你要什么麼？
我什么麼都不怕。
他最近怎么麼样樣 ？
我是怎么麼想就怎么麼说說。
他今天不怎么麼高兴興。
这么多仆人，这么多敌人。
一个小孩都受这么多苦，这世上没有真正的爱。
我不这么认为
你别別那么麼想。
你不该該那么麼相信他。
再有那么麼七八个個就够夠了。"
去,去,"上去
下去
出去
去年
回去
失去
进去
过去","从從广廣州去北京
我们們昨天去上海了。
去了一封信"
法,"做法
想法
方法
没法
法
法国
法律
无法
办法
魔法","不法
佛法
作法
依法
兵法
刑法
加法
司法
吃法
合法
执法
婚姻法
宪法
戏法
手法
打法
政法
书法
书法家
法人
法制
法则
法国人
法子
法学
法官
法定
法宝
法师
法庭
法式
法拉利
法案
法治
法海
法网
法老
法兰克福
法规
法语
法院
犯法
用法
疗法
看法
立法
算法
设法
语法
说法
输入法
违法
非法
魔法师","仿效某人的做法
软(軟)硬兼施的做法
许(許)多人效仿了他的做法。
充满(滿)信心/想法
什么(麼)想法促使你(去干(幹)这(這)事)？
就如何改变(變)体(體)制，他有一些远(遠)大的想法。
打击有害思想的方法是用其它思想，打击谎言的方法是用真相。
中国古代通过六书的方法造字。
准备色柱有两种方法：干法和湿法。
他和我儿子没法比。
同某人/ 某物没法相比
我知道自己没法跟他较量。
罪犯被绳之以法。
最后一年，我专攻军事法。
他当當时時不知道犯了法。
法国(國)史
法国(國)南部
法国(國)北部
攻读(讀)法律/医(醫)学(學)
法律中的军事法律相当于音乐中的军歌。
在良心方面，多数法律没有用武之地。
除了音乐中无法找到的极度的恐惧和悲伤，没有任何感觉。
不要对你的新想法感到惊讶。因为你所想的事，没有被更多人所接受，无法成为现实。
我无法理解
人没有办法避免思考的劳动。
信守承诺的最好办法就是不要许诺。
多年来她学到的最重要的事是即使有一百万种方法去做一个好母亲，也没有办法做一个完美的母亲。
啊，音乐。超越了我们在这里做的所有一切的魔法。
她像是对我施了魔法。
他们在巨塔里面寻求邪恶魔法。"
学,"上学
中学
化学
同学
大学
大学生
学
学妹
学会
学期
学校
学生
学习
学院
小学
数学
科学
开学","中学生
佛学
光学
入学
初学者
力学
博学
哲学
哲学家
商学院
国学
好学
学位
学分
学名
学员
学问
学园
学堂
学坏
学好
学姐
学子
学弟
学徒
学时
学业
学业有成
学历
学生会
学生证
学科
学者
学术
学说
学识
学费
学长
小学生
张学友
心理学
心理学家
放学
放学后
教学
教学楼
散学
文学
求学
法学
奖学金
留学
留学生
社会学
科学家
科学院
管理学
统计学
经济学
经济学家
美学
自学
转学
退学
医学
医学院","
中学
从(從)经(經)验(驗)中学(學)到
只有那些愿意吸取教训的人才能从经验中学到东西。
化学
两个灵魂的相遇就像两种化学物质的接触，一丁点的反应就会彻底改变它们。
恐怕这场化学考试会很难的！


他们家的几个哥们儿都是大学生。
大学生每学期至少要拿15个学分。
大学生在校结婚已经合法化了。
上法/医(醫)学(學)院
这(這)所学(學)校的学(學)生可以按喜好随(隨)意着(著)装(裝)。
儿时所学，终生难忘。

如果你不学会在困境中笑，你到晚年的时候就没有什么可以笑的了。
从幼年的时候就学会不喜欢孩子，在之后的生活中，会减少很多的花费和恼怒。
我们曾经认为如果我们知道了一个，就会知道两个，因为一加一等于二。我们发现我们必须学会更多的“和”。
在学期/ 假期中
这学期快结束了。
人生不分学期。没有暑假可以休，也没有几个老板愿意帮你发现自我。
建立新学校以努力满足不断增长的需求
学校在哪儿？
你上哪所学校？
无论是谁结束了学生生涯，就不再是学生了。
学生打折吗？
只有5%的学生回答正确。
很多事我们都是只有学了才会做，通过做才学习到。
学习不是强制的，也不是生存。
工作中学习，你就锁住了命运的车轮。
他从耶鲁法律学院毕业。
他在加拿大的艺术学院上学。
剑桥大学共有31个学院。
小学
小学(學)生们(們)把他们(們)最喜好的运(運)动(動)列了出来(來)。
他成为了一名小学教师。
数学
数学是科学的女王。
在数学中，你并不理解事情。你只是习惯于它们。
科学能够用来整治大多数的不好的，但是救不了那其中最坏的, 人的冷漠。
科学诞生于诗歌, 时间的推移会使二者在更高的层次上重识相知。
一旦行动的意愿或原因或选择被质疑,人类科学就会遭受损失。
学校下周一开学。
学校在秋季开学。
下周一安就要开学了。"
如,"如
如何
如果
如此","一如既往
不如
例如
假如
如下
如今
如来
如同
如意
如愿
比如
犹如
万事如意","她俩倆亲親如姐妹。
如一切顺順利,我们們会會提前到达達。
北京有很多名胜勝,如故宫宮、天坛壇等。
此事如何解决決？
你今后後如何打算？
知道如何取胜的人远比知道如何正确利用胜利的人多。
如果我是你,就接受那份工作。
我想周週末去爬山,如果不下雨的话話。
如果没有虚荣心，即丧失了生存的意义。
人生如此美好！
他的态態度竟如此恶惡劣。
听聽说說要放10天假。 —但愿願如此。"
都,都,"成都
都市","都是他才酿釀成了车車祸禍。
景德镇鎮有瓷都之称稱。
老师師待他比亲親生父母都好。"
同,"不同
共同
同
同事
同学
同时
同样","一同
共同点
合同
同仁
同伴
同居
同志
同性
同性恋
同情
同意
同感
同桌
同步
同盟
同胞
同行
同道
同龄
大同
如同
志同道合
感同身受
相同
胡同
与众不同
认同
赞同
陪同
党同伐异","不同
隔代不同礼。
爱情仅仅是理解并陶醉于他人的不同于我们生活的行为和经验么？
共同生活
共同愿願望
咱(偺)们(們)共同商量
他同朋友在一起吃饭飯。
我同我哥哥一样樣高。
你最好同他谈談谈談这這事。
首相猛烈抨击(擊)他的同事。
记(記)者们(們)举(舉)行抗议(議)以表示对(對)同事的支持。
我不跟同事约会。
我和她是同学(學)。
我和他是同学(學)。
我和他是同学。
桌子太大了,同时時也太贵貴了。
该該项項目时時间間紧緊,同时時工作量也很大。
同时時发發生
同样樣的愿願望
与(與)⋯同样(樣)好/有趣
该(該)计(計)划(劃)有很大的经(經)济(濟)利润(潤)，但同样(樣)也有很大的风(風)险(險)。"
现,"出现
现在
发现","呈现
实现
展现
现
现代
现场
现实
现状
现象
现货
现身
现金
表现
重现
惊现
体现","她的出现現令我感到意外。
他没沒有出现現在聚会會上,朋友很失望。
罪恶不会出现在自然界，而是由人民普遍认同的好坏来决定的。
现在做好小的事情。大事情会找你来做的。
从现在开始，我不会用一个介词来结束一句话。
激情让人全部投入到现在，所以时间变成一连串互相排斥的“现在”。
发现
我们总是更渴望那些我们没有的才能被发现，而不是被赞赏已经拥有的十五种能力。
我发现一个悖论，假如你爱至成伤，你会发现伤没有了，只有更多的爱。"
日,"今日
日
日子
生日","假日
即日
向日葵
夏日
工作日
平日
往日
成日
日出
日前
日报
日夜
日常
日式
日后
日日
日历
日期
日本
日本人
日照
日落
日记
日志
日语
早日
明日
昔日
星期日
昨日
末日
烈日
节日
纪念日
近日
周日","今日气氣温溫偏高。
今日温(溫)布尔(爾)登的赛(賽)事又受到下雨的干扰(擾)。
法网公开赛今日举行。
日复(復)一日
一日三次
七月一日
近些日子,你都忙什么麼呢？
老百姓的日子越来來越好了。
使某人日子不好过(過)
生日
你生日时(時)得到了什么(麼)礼(禮)物？
咱(偺)们(們)得好好过(過)过(過)你的生日"
军,"亚军
冠军
千军万马
季军
将军
军事
军团","三军
全军覆没
冠军赛
参军
大军
从军
敌军
新四军
日军
水军
海军
督军
空军
红军
美军
解放军
贺军翔
军
军人
军令如山
军刀
军区
军官
军情
军方
军旅
军校
军演
军火
军营
军用
军舰
军装
军训
军车
军医
军阀
军队
进军
远征军
陆军","前世界亚军
英国队得了亚军。
约翰获得赛跑亚军。
大卫(衛)在马(馬)术(術)冠军(軍)赛(賽)中居领(領)先位置。
我想与(與)他进(進)行拳击(擊)赛(賽)争(爭)夺(奪)冠军(軍)头(頭)衔(銜)。
力争爭冠军軍
千军万马不是轻易就可击败的。
有事就叫我，我带齐了千军万马来帮你。
若有勇气，即使是一个人，却可比得上千军万马。
她在这這次写寫作大赛賽中获獲得季军軍。
他拿了季军軍。
他拿了季军。
将军。
将军下达了直接命令。
将军在战场上发号施令。
法律中的军事法律相当于音乐中的军歌。
军事阅兵被取消了。
最后一年，我专攻军事法。
繁忙的人被一个魔鬼引诱；空闲的人被一个魔鬼的军团引诱。
在这次行动后，这个军团启程回家。
罗马第九军团组成龟甲阵方队——注意——进军！"
者,"作者
告密者
患者
或者
终结者
者
记者","使用者
使者
侍者
伤者
初学者
前者
创业者
胜利者
劳动者
参与者
受害者
失败者
学者
完美主义者
工作者
后者
忍者
志愿者
爱国者
爱好者
应聘者
投资者
拓荒者
操作者
支持者
旁观者
旅行者
智者
步行者
死者
求职者
流浪者
消费者
火影忍者
获奖者
第三者
笔者
素食者
统治者
经营者
老者
听者
舞者
行者
制造者
记者会
设计者
读者
逝者
长者
领导者","作者
作者
作者将(將)她最有意思的观(觀)点(點)写(寫)在书(書)中近结(結)尾处(處)。
告密者
勒索告密者说出更多信息。
告密者的名字一定要公之于众。
患者
您是James医生的患者吗？
送患者什么好呢？
周週末我或者在家做饭飯,或者出去吃。
再给給他发發封信，或者会會有回音的。
你先发發言,或者他先发發言都可以。
你确定把这终结者留在
这是电影终结者中的一幕。
数字俚语将成英语终结者
无知者无罪。
害人者终将害己。
痛苦不是按邪恶的本质来衡量，而是按承受者的脾气。
记者
一位声称是记者的人
他召集了一场记者招待会。"
意,"任意
创意
在意
好意思
如意
意外
意思
意义
意见
惬意
注意
满意
万事如意
愿意","一心一意
不经意
中意
主意
人意
介意
假意
全心全意
出乎意料
出人意料
刻意
同意
善意
大意
天意
失意
好意
寓意
得意
心意
心满意足
情意
恶意
意
意味
意境
意大利
意志
意想不到
意料
意气相投
意犹未尽
意识
意愿
爱意
故意
新意
有意
有意思
乐意
没意思
注意力
潜意识
无意
特意
玩意
玩意儿
生意
留意
真意
睡意
称心如意
肆意
诗意
诚意
随意
顺意","你可以任意指派一个個人做这這件事。
拿你喜欢(歡)的任意一张(張)卡
公众受媒体任意摆布。
他试图将我的创意说成是他的！
他剽窃了他的全部创意。
你的创意让我们度过了一个精彩的周末。
我毫不在意
我毫不在意
毫不在意
有同事在座，他没好意思说。
我都这么大了，怎么还好意思靠家里搭补过日子。
有同事在座，他没好意思说。
祝福你万萬事如意！
人不可能事事如意。
祝你在新的一年里三星高照、吉祥如意！
他(有点(點))出人意外地同意了
发(發)生意外时(時)她不在。
我们(們)没(沒)有保意外损(損)害险(險)。
这這个個连連续續剧劇太没沒意思。
没沒意思
有意思
如果没有虚荣心，即丧失了生存的意义。
恐怕你长时间地看着一件东西，它会失去它全部的意义。
幸福是生命存在的意义，是人类存在的宗旨和最终目的。
有意见見就提出来來。
请請你发發表一下意见見。
对對这這个個计計划劃大家还還有什么麼意见見？
充满兴味地置身季节的变换比无望地苦恋春天更让人心情惬意。
在河里游泳是非常惬意的。
海钓确实是一件很惬意的事情。
注意。
请請注意交通安全。
登山前特别別要注意服装裝和鞋子。
您满意吗？
很好，我非常满意。
对某事满意
万事如意。
祝你在新的一年里万事如意！
祝您万事如意。
她不愿意他工作得那么辛苦。
我不同意你说的话，但是我愿意誓死捍卫你说话的权利。
人人都希望长寿，但没人愿意变老。"
